Country,Capital
Afghanistan,Kabul
Algeria,Algiers
Andorra,Andorra la Vella
Argentina,Buenos Aires
Armenia,Yerevan
Australia,Canberra
Austria,Vienna
Azerbaijan,Baku
Bahamas,Nassau
Bahrain,Manama
Bangladesh,Dhaka
Belarus,Minsk
Belgium,Brussels
Bosnia and Herzegovina,Sarajevo
Brazil,Brasília
Bulgaria,Sofia
Cameroon,Yaounde
Canada,Ottawa
Cayman Islands,George Town
Chad,N'Djamena
China,Beijing
Colombia,Bogota
Croatia,Zagreb
Cyprus,Nicosia
Czechia,Prague
Denmark,Copenhagen
Djibouti,Djibouti
Egypt,Cairo
Estonia,Tallinn
Ethiopia,Addis Ababa
Finland,Helsinki
France,Paris
Georgia,Tbilisi
Germany,Berlin
Greece,Athens
Haiti,Port-au-Prince
Hong Kong,Hong Kong
Hungary,Budapest
Iceland,Reykjavik
India,New Delhi
Indonesia,Jakarta
Iraq,Baghdad
Ireland,Dublin
Isle of Man,Douglas
Israel,Jerusalem
Italy,Rome
Japan,Tokyo
Jersey,Saint Helier
Jordan,Amman
Kazakhstan,Astana
Kenya,Nairobi
"Korea, Republic of",Seoul
Kuwait,Kuwait
Kyrgyzstan,Bishkek
Latvia,Riga
Lebanon,Beirut
Libya,Tripoli
Lithuania,Vilnius
Luxembourg,Luxembourg
Malaysia,Kuala Lumpur
Mali,Bamako
Malta,Valletta
Mauritania,Nouakchott
Mauritius,Port Louis
Morocco,Rabat
Netherlands,Amsterdam
New Zealand,Wellington
Nigeria,Abuja
Norway,Oslo
Oman,Muscat
Pakistan,Islamabad
"Palestine, State of",Ramallah
Panama,Panama City
Philippines,Manila
Poland,Warsaw
Portugal,Lisbon
Puerto Rico,San Juan
Qatar,Doha
Republic of Serbia,Belgrade
Romania,Bucharest
Russian Federation,Moscow
Rwanda,Kigali
Saudi Arabia,Riyadh
Senegal,Dakar
Singapore,Singapore
Slovakia,Bratislava
Slovenia,Ljubljana
Solomon Islands,Honiara
Somalia,Mogadishu
South Africa,Pretoria
Spain,Madrid
Sri Lanka,Sri Jayawardenepura Kotte
Sudan,Khartoum
Sweden,Stockholm
Switzerland,Bern
Taiwan,Taipei
Tajikistan,Dushanbe
"Tanzania, United Republic of",Dodoma
Thailand,Bangkok
Tunisia,Tunis
Türkiye,Ankara
Uganda,Kampala
Ukraine,Kyiv
United Arab Emirates,Abu Dhabi
United Kingdom,London
United States,Washington
Uruguay,Montevideo
Viet Nam,Hanoi
Virgin Islands British,Road Town
Yemen,Sanaa
Zimbabwe,Harare
